date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:10:12	197187/197187	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-30243%22	https://templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg3.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg3.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:12	164012/164012	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-280ac%22	https://templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg4.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg4.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:13	178017/178017	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-2b761%22	https://templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg5.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/banner/banner-bg5.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:14	142810/142810	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-22dda%22	https://templates.hibootstrap.com/jeel/default/assets/images/services/services-bg2.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/services/services-bg2.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:15	171938/171938	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-29fa2%22	https://templates.hibootstrap.com/jeel/default/assets/images/get-bg2.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/get-bg2.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:16	179227/179227	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-2bc1b%22	https://templates.hibootstrap.com/jeel/default/assets/images/title/title1.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/title/title1.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:17	185363/185363	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-2d413%22	https://templates.hibootstrap.com/jeel/default/assets/images/title/title2.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/title/title2.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:18	153567/153567	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-257df%22	https://templates.hibootstrap.com/jeel/default/assets/images/title/title3.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/title/title3.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:19	145714/145714	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-23932%22	https://templates.hibootstrap.com/jeel/default/assets/images/title/title4.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/title/title4.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
15:10:20	141313/141313	---M--	200	added ('OK')	image/jpeg	etag:%22663b57e8-22801%22	https://templates.hibootstrap.com/jeel/default/assets/images/title/title5.jpg	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/title/title5.jpg	(from https://templates.hibootstrap.com/jeel/default/assets/css/style.css)
